,gate_0,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,gate_9,gate_10,gate_11,gate_12,gate_13,gate_14,gate_15,gate_16,gate_17,gate_18,gate_19,gate_20,gate_21,gate_22,gate_23,gate_24,gate_25,gate_26,gate_27,gate_28,gate_29,gate_30,gate_31,gate_32,gate_33,gate_34,gate_35,gate_36,gate_37,gate_38,gate_39,gate_40,gate_41,gate_42,gate_43,gate_44,gate_45,gate_46,gate_47,gate_48,gate_49,gate_50,gate_51,gate_52,gate_53,gate_54,gate_55,gate_56,gate_57,gate_58,gate_59,gate_60,gate_61,gate_62,gate_63,gate_64,gate_65,gate_66,gate_67,gate_68,gate_69,gate_70,gate_71,gate_72,gate_73,gate_74,gate_75,gate_76,gate_77,gate_78,gate_79,gate_80,gate_81,gate_82,gate_83,gate_84,gate_85,gate_86,gate_87,gate_88,gate_89,gate_90,gate_91,gate_92,gate_93,gate_94,gate_95,gate_96,gate_97,gate_98,gate_99,gate_100,gate_101,gate_102,gate_103,gate_104,gate_105,gate_106,gate_107,gate_108,gate_109,gate_110,gate_111,gate_112,gate_113,gate_114,gate_115,gate_116,gate_117,gate_118,gate_119,gate_120,gate_121,gate_122,gate_123,gate_124,gate_125,gate_126,gate_127,gate_128,gate_129,gate_130,gate_131,gate_132,gate_133,gate_134,gate_135,gate_136,gate_137,gate_138,gate_139,gate_140,gate_141,gate_142,gate_143,gate_144,gate_145,gate_146,gate_147,gate_148,gate_149,gate_150,gate_151,gate_152,gate_153,gate_154,gate_155,gate_156,gate_157,gate_158,gate_159,gate_160,gate_161,gate_162,gate_163,gate_164,gate_165,gate_166,gate_167,gate_168,gate_169,gate_170,gate_171,gate_172,gate_173,gate_174,gate_175,gate_176,gate_177,gate_178,gate_179,gate_180,gate_181,gate_182,gate_183,gate_184,gate_185,gate_186,gate_187,gate_188,gate_189,gate_190,gate_191,gate_192,gate_193,gate_194,gate_195,gate_196,gate_197,gate_198,gate_199,gate_200,gate_201,gate_202,gate_203,gate_204,gate_205,gate_206,gate_207,gate_208,gate_209,gate_210,gate_211,gate_212,gate_213,gate_214,gate_215,gate_216,gate_217,gate_218,gate_219,gate_220,gate_221,gate_222,gate_223,gate_224,gate_225,gate_226,gate_227,gate_228,gate_229,gate_230,gate_231,gate_232,gate_233,gate_234,gate_235,gate_236,gate_237,gate_238,gate_239,gate_240,gate_241,gate_242,gate_243,gate_244,gate_245,gate_246,gate_247,gate_248,gate_249,gate_250,gate_251,gate_252,gate_253,gate_254,gate_255
auto_46,785,786,785,783,459,459,785,783,785,764,785,832,459,459,784,564,785,912,789,783,785,783,788,783,785,720,789,743,459,459,942,783,785,786,785,783,459,785,785,783,785,800,785,832,459,956,784,832,785,912,459,459,785,782,726,783,785,706,459,622,459,780,459,783,785,788,785,783,459,459,459,459,785,823,785,742,459,459,459,459,785,783,789,782,785,783,1063,783,785,714,789,463,459,459,459,783,785,784,785,459,459,709,459,778,785,832,785,790,459,521,459,690,785,783,459,780,785,784,468,783,785,764,459,459,459,774,1043,783,785,792,785,838,459,459,785,613,785,2626,785,911,459,459,784,910,785,835,789,721,785,812,459,459,785,590,789,465,459,459,459,459,785,792,785,985,459,459,785,463,785,1439,785,911,459,1729,784,847,785,697,459,459,785,459,459,459,785,461,459,459,459,459,459,459,785,636,785,476,459,459,459,459,785,463,785,459,459,459,459,459,785,697,789,463,785,617,463,463,785,461,789,459,459,459,459,459,785,550,785,459,459,525,459,459,785,461,785,459,459,459,459,459,785,697,459,459,785,611,459,459,785,461,459,459,459,459,459,459
auto_47,4392,1019,7436,1117,6300,956,7428,598,4392,4498,7436,4589,6300,976,7441,1108,4572,1083,3936,598,4598,598,3874,598,4572,3190,3936,3109,3666,956,6786,623,4392,1019,7436,1117,6300,1092,7428,1079,4392,4470,7436,4589,6300,6097,7441,4608,4572,1083,1329,956,4598,1081,6713,598,4572,2497,1329,1287,4781,1298,4051,623,4392,4477,7436,3133,6300,941,4069,993,4392,7545,7436,7075,6300,776,4069,990,4572,4941,3936,3095,4591,1048,6740,635,4572,6968,3936,1174,3666,939,1329,660,4392,5181,7436,2533,6300,6202,5898,1340,4392,6613,7436,4407,6300,5864,6675,4811,4572,4941,1329,1250,4591,4939,3801,635,4572,4453,1329,1049,6085,4516,4497,660,4392,6985,7436,8109,6300,908,7428,5254,4392,7143,7436,5641,6300,917,7441,5086,4572,7072,3936,7073,4598,5166,4790,4963,4572,3489,3936,4445,3666,917,5878,4270,4392,6985,7436,5677,6300,4520,7428,4769,4392,4503,7436,5641,6300,4523,7441,4901,4572,4931,1329,1006,4598,4760,1448,577,4572,468,1329,461,3666,461,1329,461,4392,6516,7436,3515,6300,931,4069,918,4392,845,7436,466,6300,461,4069,461,4572,4903,3936,4563,4591,4502,5939,4364,4572,466,3936,461,3666,461,1329,461,4392,4374,7436,467,6300,4211,4069,461,4392,466,7436,466,6300,461,4069,461,4572,4903,1329,461,4591,4322,1329,461,4572,466,1329,461,3666,461,1329,461
auto_48,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_49,1105,895,552,552,895,895,1105,1284,1105,1308,552,552,895,895,1105,1214,1105,1283,1336,1284,1105,1284,1335,1284,1105,568,1336,1290,895,895,1186,1284,1105,895,552,552,895,895,1105,1284,1105,1314,552,552,895,557,1105,1309,1105,1283,895,895,1105,1283,1282,1284,1105,1237,895,1237,895,1274,895,1284,1105,1331,552,552,895,895,895,895,1105,895,552,552,895,895,895,895,1105,1332,1336,1283,1105,1284,1107,1284,1105,557,1336,895,895,895,895,1284,1105,557,552,552,895,568,895,568,1105,895,552,552,895,590,895,1262,1105,1332,895,1283,1105,1332,1006,1284,1105,1272,895,895,895,1318,1103,1284,1105,895,552,552,895,895,1105,1172,1105,562,552,552,895,895,1105,895,1105,1090,1336,1264,1105,1180,895,895,1105,765,1336,968,895,895,557,895,1105,895,552,552,895,895,1105,918,1105,955,552,552,895,895,1105,895,1105,1004,895,895,1105,774,895,895,1105,895,895,895,895,895,895,895,1105,591,552,552,895,895,895,895,1105,895,552,552,895,895,895,895,1105,1004,1336,919,1105,944,895,919,1105,895,1336,895,895,895,895,895,1105,557,552,552,895,776,895,895,1105,895,552,552,895,895,895,895,1105,1004,895,895,1105,931,895,895,1105,895,895,895,895,895,895,895
auto_50,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_51,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895
auto_52,789,792,789,892,459,459,789,788,789,793,789,788,459,459,789,788,789,788,518,788,463,788,518,788,789,788,518,787,459,459,466,788,789,792,789,892,459,788,789,787,789,789,789,788,459,477,789,788,789,788,459,459,463,788,760,788,789,459,459,786,459,784,467,788,789,579,789,635,459,459,459,459,789,477,789,569,459,459,459,459,789,569,518,740,789,569,482,788,789,608,518,463,459,459,459,788,789,808,789,698,459,463,459,786,789,495,789,772,459,463,459,780,789,569,459,628,789,569,459,788,789,560,459,459,459,560,463,788,789,713,789,821,459,459,789,466,789,463,789,689,459,459,789,611,789,649,518,707,463,646,459,459,789,463,518,463,459,459,463,463,789,713,789,689,459,459,789,459,789,477,789,689,459,463,789,604,789,858,459,459,463,463,459,459,789,459,459,459,459,459,459,459,789,790,789,469,459,459,459,459,789,463,789,461,459,459,459,459,789,892,518,466,789,892,459,459,789,459,518,459,459,459,459,459,789,790,789,461,459,1839,459,459,789,461,789,461,459,459,459,459,789,892,459,459,789,827,459,459,789,459,459,459,459,459,459,459
auto_53,549,945,818,1019,894,894,1235,549,549,4466,818,4519,894,976,857,1092,6512,1079,3485,549,1204,549,3381,549,6512,2953,3485,3074,970,907,6331,598,549,945,818,1019,894,1006,1235,1017,549,4820,818,4519,894,6568,857,4518,6512,1079,852,894,1204,1018,6303,549,6512,2697,852,1271,2133,1260,3735,598,549,4958,818,3110,894,919,952,919,549,7272,818,6861,894,775,952,990,6512,5770,3485,3071,6547,998,6388,586,6512,7262,3485,1136,970,926,852,635,549,4851,818,2323,894,6766,2112,1271,549,6723,818,4584,894,6222,3461,4717,6512,5770,852,1191,6547,5769,3403,586,6512,4593,852,1012,3503,4502,4051,635,549,7106,818,7058,894,1581,1235,5124,549,6929,818,4892,894,945,857,4480,6512,8154,3485,7068,1204,5363,4480,5173,6512,3505,3485,4509,970,942,5489,4329,549,7106,818,4917,894,6121,1235,4757,549,4401,818,4892,894,4141,857,4306,6512,5749,852,1044,1204,4403,989,587,6512,468,852,461,970,461,852,461,549,7061,818,3438,894,1005,952,940,549,857,818,466,894,461,952,461,6512,5713,3485,4515,6547,5445,5505,4293,6512,466,3485,461,970,461,852,461,549,4680,818,468,894,4355,952,461,549,466,818,466,894,461,952,461,6512,5713,852,461,6547,5240,852,461,6512,466,852,461,970,461,852,461
auto_54,7673,3351,7629,3308,459,459,7523,3121,7673,4503,7629,4290,459,459,7579,1608,7635,3297,6170,3121,7536,3121,6182,3121,7635,3090,6170,2839,459,459,501,3121,7673,3351,7629,3308,459,3347,7523,3098,7673,4120,7629,4290,459,683,7579,4247,7635,3297,459,459,7536,3098,2163,3121,7635,1145,459,2480,459,3176,639,3121,7673,4644,7629,3091,459,459,459,459,7673,4487,7629,2421,459,459,459,459,7635,4244,6170,2862,7585,1593,500,3121,7635,2400,6170,464,459,459,459,3121,7673,4080,7629,1188,459,681,459,3150,7673,3149,7629,2383,459,464,459,3261,7635,4244,459,2467,7585,4206,638,3121,7635,2382,459,459,459,3230,464,3121,7673,5194,7629,5259,459,459,7523,2071,7673,3080,7629,2098,459,459,7579,1954,7635,5068,6170,2254,7536,2064,459,459,7635,471,6170,470,459,459,463,463,7673,5194,7629,2070,459,459,7523,463,7673,1597,7629,2098,459,735,7579,1785,7635,2026,459,459,7536,463,459,459,7635,461,459,459,459,459,459,459,7673,3057,7629,472,459,459,459,459,7673,464,7629,461,459,459,459,459,7635,2048,6170,471,7585,1850,463,463,7635,461,6170,459,459,459,459,459,7673,1646,7629,461,459,789,459,459,7673,462,7629,461,459,459,459,459,7635,2048,459,459,7585,1684,459,459,7635,461,459,459,459,459,459,459
auto_55,549,981,818,1019,894,894,1107,549,549,4466,818,4519,894,976,857,1092,818,1020,3485,549,1093,549,3381,549,818,2952,3485,3074,970,907,6331,598,549,981,818,1019,894,981,1107,1017,549,4306,818,4519,894,6568,857,4518,818,1020,852,894,1093,1018,6303,549,818,2462,852,1271,2133,1260,3735,598,549,4478,818,3110,894,919,952,919,549,7075,818,6861,894,775,952,990,818,4923,3485,3071,843,998,6388,586,818,6829,3485,1136,970,926,852,635,549,4262,818,2323,894,6656,2112,1271,549,5657,818,4584,894,6222,3461,4717,818,4923,852,1191,843,4923,3403,586,818,4579,852,1012,3503,4502,4051,635,549,6133,818,7058,894,1664,1107,5124,549,6571,818,4892,894,945,857,4480,818,6664,3485,7068,1093,5144,4480,5173,818,3480,3485,4509,970,942,5489,4329,549,6133,818,4917,894,6114,1107,4757,549,4207,818,4892,894,4141,857,4306,818,4525,852,1044,1093,4366,989,587,818,468,852,461,970,461,852,461,549,6443,818,3438,894,943,952,940,549,857,818,466,894,461,952,461,818,4498,3485,4515,843,4498,5505,4293,818,466,3485,461,970,461,852,461,549,4203,818,468,894,4155,952,461,549,466,818,466,894,461,952,461,818,4498,852,461,843,4312,852,461,818,466,852,461,970,461,852,461
auto_56,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_57,6426,895,6493,4803,5993,895,6483,2933,6426,6129,6493,6666,5993,895,6684,1551,6177,2946,6749,2933,6198,2933,6741,2933,6177,5724,6749,2579,6215,895,8243,2933,6426,895,6493,4803,5993,3046,6483,2933,6426,7008,6493,6666,5993,8153,6684,6684,6177,2946,4865,895,6198,2899,7197,2933,6177,3080,4865,2149,6348,2883,5794,2933,6426,7312,6493,5327,5993,895,4723,895,6426,8573,6493,8558,5993,895,4723,895,6177,7631,6749,2899,6198,2933,8004,2933,6177,8512,6749,895,6215,895,4865,2933,6426,6838,6493,3063,5993,8113,6872,1023,6426,8841,6493,1320,5993,8588,7230,5982,6177,7631,4865,2864,6198,7511,7854,2933,6177,3886,4865,895,6901,7192,7053,2933,6426,7764,6493,8828,5993,8698,6483,6922,6426,7786,6493,7574,5993,7259,6684,7838,6177,8368,6749,6226,6198,7005,7157,895,6177,4374,6749,956,6215,895,8069,895,6426,7764,6493,7581,5993,7847,6483,5546,6426,7954,6493,7574,5993,5298,6684,5311,6177,6239,4865,1271,6198,5425,4941,1070,6177,925,4865,895,6215,895,4865,895,6426,7762,6493,4469,5993,6383,4723,895,6426,895,6493,552,5993,895,4723,895,6177,6089,6749,907,6198,6413,7286,907,6177,895,6749,895,6215,895,4865,895,6426,7845,6493,637,5993,4659,4723,895,6426,895,6493,552,5993,895,4723,895,6177,6089,4865,895,6198,4639,4865,895,6177,895,4865,895,6215,895,4865,895
auto_58,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_59,3500,895,7404,1081,5993,895,7389,895,3500,6143,7404,6269,5993,895,7389,895,6231,2920,6704,895,6231,895,6703,895,6231,3332,6704,895,6231,895,6975,895,3500,895,7404,1081,5993,1055,7389,895,3500,7332,7404,6269,5993,7116,7389,6269,6231,2920,4853,895,6231,895,4853,895,6231,2751,4853,895,6231,2851,4853,895,3500,6339,7404,4800,5993,895,4732,895,3500,7805,7404,7516,5993,895,4732,895,6231,6339,6704,895,6231,895,6919,895,6231,8022,6704,895,6231,895,4853,895,3500,6296,7404,2992,5993,7862,6773,1221,3500,7496,7404,1301,5993,8221,6672,6179,6231,6339,4853,895,6231,6411,7609,895,6231,1298,4853,895,6231,6380,6763,895,3500,7277,7404,8164,5993,7228,7389,5861,3500,6339,7404,6284,5993,6339,7389,6259,6231,7254,6704,5588,6231,5717,6919,895,6231,3696,6704,895,6231,895,6662,895,3500,7277,7404,6321,5993,6434,7389,4794,3500,6293,7404,6284,5993,4562,7389,4562,6231,6324,4853,1382,6231,4753,4853,1053,6231,925,4853,895,6231,895,4853,895,3500,7716,7404,4301,5993,6383,4732,895,3500,895,7404,895,5993,895,4732,895,6231,6270,6704,895,6231,6235,6732,895,6231,895,6704,895,6231,895,4853,895,3500,7605,7404,956,5993,4565,4732,895,3500,895,7404,895,5993,895,4732,895,6231,6270,4853,895,6231,4527,4853,895,6231,895,4853,895,6231,895,4853,895
auto_60,2460,1572,2460,1616,459,459,2454,1455,2460,1563,2460,1588,459,459,2454,1180,2454,1455,3610,1455,2445,1455,3595,1455,2454,1543,3610,1447,459,459,1212,1455,2460,1572,2460,1616,459,1538,2454,1447,2460,2115,2460,1588,459,933,2454,1573,2454,1455,459,459,2445,1455,1261,1455,2454,459,459,1439,459,1515,625,1455,2460,1797,2460,1601,459,459,459,459,2460,2629,2460,1422,459,459,459,459,2454,2169,3610,1484,2448,772,1254,1455,2454,1746,3610,676,459,459,459,1455,2460,2370,2460,1229,459,1129,459,1539,2460,1887,2460,1556,459,650,459,1394,2454,2169,459,1142,2448,2169,459,1455,2454,1171,459,459,459,1180,1457,1455,2460,2815,2460,1782,459,459,2454,1211,2460,1027,2460,1060,459,459,2454,865,2454,2088,3610,1204,2445,1371,459,459,2454,477,3610,517,459,459,574,517,2460,2815,2460,1060,459,459,2454,459,2460,684,2460,1060,459,537,2454,838,2454,1426,459,459,2445,533,459,459,2454,459,459,459,459,459,459,459,2460,3362,2460,862,459,459,459,459,2460,677,2460,461,459,459,459,459,2454,1498,3610,517,2448,1409,459,459,2454,459,3610,459,459,459,459,459,2460,1714,2460,461,459,1215,459,459,2460,461,2460,461,459,459,459,459,2454,1498,459,459,2448,1265,459,459,2454,459,459,459,459,459,459,459
auto_61,598,1031,6889,1117,957,956,1334,598,598,4509,6889,4589,957,976,6905,1108,5853,1141,3550,598,1333,598,3488,598,5853,3190,3550,3109,1013,956,6419,623,598,1031,6889,1117,957,1105,1334,1079,598,4793,6889,4589,957,6749,6905,4608,5853,1141,872,956,1333,1081,6328,598,5853,2236,872,1287,2143,1298,3655,623,598,5269,6889,3133,957,941,976,993,598,7503,6889,7075,957,776,976,990,5853,5039,3550,3095,5876,1048,6381,635,5853,7243,3550,1174,1013,939,872,660,598,4912,6889,2533,957,6683,2130,1340,598,6736,6889,4407,957,5864,3466,4811,5853,5039,872,1250,5876,5037,3429,635,5853,4462,872,1049,3478,4516,4122,660,598,7198,6889,8109,957,1508,1334,5254,598,6969,6889,5641,957,951,6905,5086,5853,7267,3550,7073,1333,5198,4409,4963,5853,3515,3550,4445,1013,917,5468,4270,598,7198,6889,5677,957,6213,1334,4769,598,4629,6889,5641,957,4719,6905,4901,5853,4855,872,1006,1333,4749,1004,577,5853,468,872,461,1013,461,872,461,598,6667,6889,3515,957,918,976,918,598,845,6889,466,957,461,976,461,5853,4835,3550,4563,5876,2964,5554,4364,5853,466,3550,461,1013,461,872,461,598,4293,6889,467,957,4535,976,461,598,466,6889,466,957,461,976,461,5853,4835,872,461,5876,2818,872,461,5853,466,872,461,1013,461,872,461
auto_62,7811,3410,7801,3353,459,459,7724,3167,7811,4509,7801,4382,459,459,7743,1604,7801,3337,6375,3167,7707,3167,6389,3167,7801,3502,6375,2908,459,459,2174,3167,7811,3410,7801,3353,459,3376,7724,3149,7811,4444,7801,4382,459,2659,7743,4356,7801,3337,459,459,7707,3149,2122,3167,7801,706,459,2497,459,3213,625,3167,7811,4489,7801,3232,459,459,459,459,7811,4384,7801,3062,459,459,459,459,7801,4201,6375,2943,7751,1621,2549,3167,7801,2957,6375,683,459,459,459,3167,7811,4448,7801,1598,459,1555,459,3200,7811,3592,7801,2378,459,787,459,3276,7801,4201,459,2541,7751,4257,628,3167,7801,2457,459,459,459,3071,5751,3167,7811,5168,7801,5302,459,459,7724,2255,7811,3968,7801,2359,459,459,7743,2300,7801,5226,6375,2228,7707,2552,459,459,7801,843,6375,576,459,459,574,517,7811,5168,7801,2363,459,459,7724,531,7811,2066,7801,2359,459,1840,7743,2071,7801,2431,459,459,7707,533,459,459,7801,461,459,459,459,459,459,459,7811,4196,7801,924,459,459,459,459,7811,685,7801,461,459,459,459,459,7801,2527,6375,576,7751,2449,571,516,7801,461,6375,459,459,459,459,459,7811,2106,7801,461,459,1740,459,459,7811,462,7801,461,459,459,459,459,7801,2527,459,459,7751,2201,459,459,7801,461,459,459,459,459,459,459
auto_63,598,1019,6556,1117,957,956,1246,598,598,4498,6556,4589,957,976,6590,1108,867,1083,3550,598,1229,598,3488,598,867,3190,3550,3109,1013,956,6419,623,598,1019,6556,1117,957,1092,1246,1079,598,4861,6556,4589,957,6749,6590,4608,867,1083,872,956,1229,1081,6328,598,867,2497,872,1287,2143,1298,3655,623,598,4477,6556,3133,957,941,976,993,598,7545,6556,7075,957,776,976,990,867,4941,3550,3095,892,1048,6381,635,867,6968,3550,1174,1013,939,872,660,598,5181,6556,2533,957,6673,2130,1340,598,6675,6556,4407,957,5864,3466,4811,867,4941,872,1250,892,4939,3429,635,867,4453,872,1049,3478,4516,4122,660,598,6985,6556,8109,957,1637,1246,5254,598,7104,6556,5641,957,951,6590,5086,867,7072,3550,7073,1229,5166,4409,4963,867,3489,3550,4445,1013,917,5468,4270,598,6985,6556,5677,957,6244,1246,4769,598,4635,6556,5641,957,4719,6590,4901,867,4931,872,1006,1229,4760,1004,577,867,468,872,461,1013,461,872,461,598,6516,6556,3515,957,931,976,918,598,845,6556,466,957,461,976,461,867,4903,3550,4563,892,4502,5554,4364,867,466,3550,461,1013,461,872,461,598,4374,6556,467,957,4211,976,461,598,466,6556,466,957,461,976,461,867,4903,872,461,892,4322,872,461,867,466,872,461,1013,461,872,461
auto_64,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
auto_65,5237,3204,5121,931,7086,895,5230,5376,5237,7582,5121,7831,7086,895,5196,4089,7600,5278,7749,5376,7538,5376,7738,5376,7600,2617,7749,4952,5828,895,7797,5376,5237,3204,5121,931,7086,3258,5230,5355,5237,7621,5121,7831,7086,7765,5196,7918,7600,5278,6261,895,7538,5355,7867,5376,7600,2725,6261,4352,7572,5003,8307,5376,5237,6665,5121,6220,7086,895,7645,895,5237,8182,5121,7943,7086,895,7645,895,7600,6581,7749,5106,7558,4395,7746,5376,7600,8016,7749,880,5828,895,6261,5376,5237,6711,5121,2284,7086,7703,7313,937,5237,8209,5121,1959,7086,8106,7392,6289,7600,6581,6261,4217,7558,6587,6081,5376,7600,1375,6261,895,7688,6258,7792,5376,5237,7895,5121,7346,7086,8628,5230,6599,5237,7187,5121,7407,7086,6382,5196,7280,7600,7865,7749,6528,7538,6346,7705,895,7600,2814,7749,991,5828,895,8251,910,5237,7895,5121,6556,7086,7657,5230,5222,5237,7365,5121,7407,7086,5245,5196,5382,7600,6835,6261,1271,7538,5567,6329,1083,7600,637,6261,895,5828,895,6261,895,5237,7304,5121,2816,7086,7254,7645,895,5237,879,5121,552,7086,895,7645,895,7600,7050,7749,991,7558,6891,8225,924,7600,552,7749,895,5828,895,6261,895,5237,7099,5121,595,7086,5266,7645,895,5237,552,5121,552,7086,895,7645,895,7600,7050,6261,895,7558,4855,6261,895,7600,552,6261,895,5828,895,6261,895
